企業名,スクレイピング更新コメント時間_最新,スクレイピング更新コメント時間_最古,スクレイピング参照コメント時間,前回取得した最新フォルダ,スクレイピング更新結果
日本水産,2017-03-27 13:08:00,2017-03-27 13:08:00,2017-03-27 13:08:00,2017-04-08 16:56:23,Not update
マルハニチロ,2017-04-03 16:44:00,2017-04-03 16:44:00,2017-04-03 16:44:00,2017-04-08 17:02:26,Not update
国際石油開発帝石,2017-04-09 21:22:00,2017-04-09 21:22:00,2017-04-09 21:22:00,2017-04-10 20:02:32,Not update
コムシスホールディングス,2017-03-27 13:09:00,2017-03-27 13:09:00,2017-03-27 13:09:00,2017-04-08 17:15:43,Not update
大成建設,2017-04-06 12:35:00,2017-04-06 12:35:00,2017-04-06 12:35:00,2017-04-08 17:18:15,Not update
大林組,2017-04-05 21:42:00,2017-04-05 21:42:00,2017-04-05 21:42:00,2017-04-08 17:26:57,Not update
清水建設,2017-04-08 12:35:00,2017-04-08 12:35:00,2017-04-08 12:35:00,2017-04-08 18:00:09,Not update
長谷工コーポレーション,2017-04-09 11:43:00,2017-04-09 11:43:00,2017-04-09 11:43:00,2017-04-10 20:04:59,Not update
鹿島建設,2017-04-10 18:29:00,2017-04-10 18:29:00,2017-04-10 18:29:00,2017-04-10 20:05:51,Not update
大和ハウス工業,2017-04-10 15:06:00,2017-04-10 15:06:00,2017-04-10 15:06:00,2017-04-10 20:06:54,Not update
積水ハウス,2017-04-06 14:26:00,2017-04-06 14:26:00,2017-04-06 14:26:00,2017-04-08 18:40:06,Not update
日揮,2017-04-10 18:36:00,2017-04-10 18:36:00,2017-04-10 18:36:00,2017-04-10 20:07:57,Not update
日清製粉グループ本社,2017-03-19 08:43:00,2017-03-19 08:43:00,2017-03-19 08:43:00,2017-04-08 18:51:43,Not update
明治ホールディングス,2017-04-04 11:18:00,2017-04-04 11:18:00,2017-04-04 11:18:00,2017-04-08 18:54:52,Not update
日本ハム,2017-04-09 18:38:00,2017-04-09 18:38:00,2017-04-09 18:38:00,2017-04-10 20:09:04,Not update
ディー・エヌ・エー,2017-04-10 18:31:00,2017-04-10 18:31:00,2017-04-10 18:31:00,2017-04-10 20:09:55,Not update
サッポロホールディングス,2017-04-10 19:04:00,2017-04-10 19:04:00,2017-04-10 19:04:00,2017-04-10 20:10:49,Not update
アサヒグループホールディングス,2017-04-05 13:14:00,2017-04-05 13:14:00,2017-04-05 13:14:00,2017-04-08 19:46:54,Not update
キリンホールディングス,2017-03-27 13:20:00,2017-03-27 13:20:00,2017-03-27 13:20:00,2017-04-08 19:55:53,Not update
宝ホールディングス,2017-03-06 00:41:00,2017-03-06 00:41:00,2017-03-06 00:41:00,2017-04-08 20:04:11,Not update
双日,2017-04-09 18:50:00,2017-04-09 18:50:00,2017-04-09 18:50:00,2017-04-10 20:12:07,Not update
キッコーマン,2017-04-10 08:47:00,2017-04-10 08:47:00,2017-04-10 08:47:00,2017-04-10 20:13:01,Not update
味の素,2017-04-08 19:45:00,2017-04-08 19:45:00,2017-04-08 19:45:00,2017-04-08 20:33:05,Not update
ニチレイ,2017-03-27 13:21:00,2017-03-27 13:21:00,2017-03-27 13:21:00,2017-04-08 20:40:07,Not update
日本たばこ産業,2017-04-06 20:52:00,2017-04-06 20:52:00,2017-04-06 20:52:00,2017-04-08 20:42:47,Not update
J.フロントリテイリング,2017-04-10 19:42:00,2017-04-10 19:42:00,2017-04-10 19:42:00,2017-04-10 20:14:20,Not update
三越伊勢丹ホールディングス,2017-04-10 15:48:00,2017-04-10 15:48:00,2017-04-10 15:48:00,2017-04-10 20:16:19,Not update
東洋紡,2017-03-28 09:41:00,2017-03-28 09:41:00,2017-03-28 09:41:00,2017-04-08 21:03:35,Not update
ユニチカ,2017-03-07 22:56:00,2017-03-07 22:56:00,2017-03-07 22:56:00,2017-04-08 21:07:57,Not update
日清紡ホールディングス,2017-02-26 12:07:00,2017-02-26 12:07:00,2017-02-26 12:07:00,2017-04-08 21:12:55,Not update
東急不動産ホールディングス,2017-04-01 12:03:00,2017-04-01 12:03:00,2017-04-01 12:03:00,2017-04-08 21:15:42,Not update
セブン＆アイ・ホールディングス,2017-04-10 17:35:00,2017-04-10 17:35:00,2017-04-10 17:35:00,2017-04-10 20:17:44,Not update
帝人,2017-04-05 14:10:00,2017-04-05 14:10:00,2017-04-05 14:10:00,2017-04-08 21:32:27,Not update
東レ,2017-04-10 15:08:00,2017-04-10 15:08:00,2017-04-10 15:08:00,2017-04-10 20:18:44,Not update
クラレ,2017-04-10 08:58:00,2017-04-10 08:58:00,2017-04-10 08:58:00,2017-04-10 20:19:40,Not update
旭化成,2017-04-10 13:46:00,2017-04-10 13:46:00,2017-04-10 13:46:00,2017-04-10 20:20:40,Not update
SUMCO,2017-04-10 19:00:00,2017-04-10 19:00:00,2017-04-10 19:00:00,2017-04-10 20:21:29,Not update
王子ホールディングス,2017-04-09 16:01:00,2017-04-09 16:01:00,2017-04-09 16:01:00,2017-04-10 20:22:22,Not update
日本製紙,2017-02-26 18:13:00,2017-02-26 18:13:00,2017-02-26 18:13:00,2017-04-08 22:20:27,Not update
北越紀州製紙,2017-03-26 11:34:00,2017-03-26 11:34:00,2017-03-26 11:34:00,2017-04-08 22:22:11,Not update
昭和電工,2017-04-10 21:02:00,2017-04-10 21:02:00,2017-04-10 21:02:00,2017-04-10 21:46:58,Not update
住友化学,2017-04-10 18:33:00,2017-04-10 18:33:00,2017-04-10 18:33:00,2017-04-10 20:23:40,Not update
日産化学工業,2017-03-26 11:45:00,2017-03-26 11:45:00,2017-03-26 11:45:00,2017-04-08 22:40:00,Not update
東ソー,2017-03-27 13:41:00,2017-03-27 13:41:00,2017-03-27 13:41:00,2017-04-08 22:42:54,Not update
トクヤマ,2017-04-01 14:53:00,2017-04-01 14:53:00,2017-04-01 14:53:00,2017-04-08 22:47:13,Not update
デンカ,2017-03-27 13:41:00,2017-03-27 13:41:00,2017-03-27 13:41:00,2017-04-08 22:51:52,Not update
信越化学工業,2017-04-10 21:00:00,2017-04-10 21:00:00,2017-04-10 21:00:00,2017-04-10 21:48:35,Not update
協和発酵キリン,2017-04-07 09:13:00,2017-04-07 09:13:00,2017-04-07 09:13:00,2017-04-08 23:04:30,Not update
三井化学,2017-03-19 23:45:00,2017-03-19 23:45:00,2017-03-19 23:45:00,2017-04-08 23:08:02,Not update
三菱ケミカルホールディングス,2017-03-27 13:43:00,2017-03-27 13:43:00,2017-03-27 13:43:00,2017-04-08 23:13:30,Not update
宇部興産,2017-04-01 10:02:00,2017-04-01 10:02:00,2017-04-01 10:02:00,2017-04-08 23:21:34,Not update
日本化薬,2017-03-27 14:08:00,2017-03-27 14:08:00,2017-03-27 14:08:00,2017-04-08 23:26:30,Not update
電通,2017-03-27 17:09:00,2017-03-27 17:09:00,2017-03-27 17:09:00,2017-04-08 23:28:58,Not update
花王,2017-03-28 07:46:00,2017-03-28 07:46:00,2017-03-28 07:46:00,2017-04-08 23:33:36,Not update
武田薬品工業,2017-04-07 09:19:00,2017-04-07 09:19:00,2017-04-07 09:19:00,2017-04-08 23:41:23,Not update
アステラス製薬,2017-04-08 18:37:00,2017-04-08 18:37:00,2017-04-08 18:37:00,2017-04-08 23:59:58,Not update
大日本住友製薬,2017-04-09 23:28:00,2017-04-09 23:28:00,2017-04-09 23:28:00,2017-04-10 20:26:31,Not update
塩野義製薬,2017-03-27 14:14:00,2017-03-27 14:14:00,2017-03-27 14:14:00,2017-04-09 00:14:14,Not update
中外製薬,2017-03-27 14:14:00,2017-03-27 14:14:00,2017-03-27 14:14:00,2017-04-09 00:21:02,Not update
エーザイ,2017-04-01 15:19:00,2017-04-01 15:19:00,2017-04-01 15:19:00,2017-04-09 00:28:35,Not update
テルモ,2017-04-06 22:00:00,2017-04-06 22:00:00,2017-04-06 22:00:00,2017-04-09 00:37:04,Not update
第一三共,2017-04-06 12:43:00,2017-04-06 12:43:00,2017-04-06 12:43:00,2017-04-09 00:42:24,Not update
大塚ホールディングス,2017-03-27 14:18:00,2017-03-27 14:18:00,2017-03-27 14:18:00,2017-04-09 00:51:02,Not update
ヤフー,2017-04-05 10:05:00,2017-04-05 10:05:00,2017-04-05 10:05:00,2017-04-09 00:56:06,Not update
トレンドマイクロ,2017-04-07 12:32:00,2017-04-07 12:32:00,2017-04-07 12:32:00,2017-04-09 01:22:42,Not update
楽天,2017-04-08 16:51:00,2017-04-08 16:51:00,2017-04-08 16:51:00,2017-04-09 01:26:14,Not update
富士フイルムホールディングス,2017-03-23 00:06:00,2017-03-23 00:06:00,2017-03-23 00:06:00,2017-04-09 01:51:18,Not update
コニカミノルタ,2017-04-07 14:52:00,2017-04-07 14:52:00,2017-04-07 14:52:00,2017-04-09 02:06:59,Not update
資生堂,2017-03-27 14:11:00,2017-03-27 14:11:00,2017-03-27 14:11:00,2017-04-09 02:10:55,Not update
昭和シェル石油,2017-04-10 19:02:00,2017-04-10 19:02:00,2017-04-10 19:02:00,2017-04-10 20:29:25,Not update
JXホールディングス,2017-03-22 20:52:00,2017-03-22 20:52:00,2017-03-22 20:52:00,2017-04-09 02:27:44,Not update
横浜ゴム,2017-03-24 18:14:00,2017-03-24 18:14:00,2017-03-24 18:14:00,2017-04-09 02:39:57,Not update
ブリヂストン,2017-04-01 11:02:00,2017-04-01 11:02:00,2017-04-01 11:02:00,2017-04-09 02:43:07,Not update
旭硝子,2017-03-26 11:36:00,2017-03-26 11:36:00,2017-03-26 11:36:00,2017-04-09 02:53:38,Not update
日本板硝子,2017-03-02 10:41:00,2017-03-02 10:41:00,2017-03-02 10:41:00,2017-04-09 02:59:30,Not update
日本電気硝子,2017-03-31 08:56:00,2017-03-31 08:56:00,2017-03-31 08:56:00,2017-04-09 03:10:11,Not update
住友大阪セメント,2017-02-26 18:17:00,2017-02-26 18:17:00,2017-02-26 18:17:00,2017-04-09 03:14:59,Not update
